Frame,Track_ID,Class_Name,X,Y,W,H
1,1,couch,966,745,702,529
1,2,suitcase,1491,746,143,175
2,1,couch,966,749,708,536
2,2,suitcase,1491,746,143,175
3,1,couch,967,748,703,533
3,2,suitcase,1491,746,143,175
4,1,couch,966,746,703,530
4,2,suitcase,1491,746,143,174
5,1,couch,966,746,703,530
5,2,suitcase,1491,746,143,174
6,1,couch,966,746,703,530
6,2,suitcase,1491,746,143,174
7,1,couch,965,748,708,534
7,2,suitcase,1491,746,143,174
8,1,couch,964,748,710,534
8,2,suitcase,1491,746,144,174
9,1,couch,964,748,713,534
9,2,suitcase,1491,746,144,174
10,1,couch,964,748,713,534
10,2,suitcase,1491,746,144,174
11,1,couch,965,746,708,531
11,2,suitcase,1491,746,145,174
12,1,couch,965,748,709,533
12,2,suitcase,1491,746,145,174
13,1,couch,966,746,705,530
13,2,suitcase,1491,745,145,175
14,1,couch,966,748,707,533
14,2,suitcase,1491,746,145,175
15,1,couch,966,749,707,535
15,2,suitcase,1491,746,144,174
16,1,couch,966,749,708,535
16,2,suitcase,1491,746,144,175
17,1,couch,965,749,710,535
17,2,suitcase,1491,746,144,175
18,1,couch,966,748,709,532
18,2,suitcase,1491,746,144,175
19,1,couch,965,747,710,531
19,2,suitcase,1491,746,143,175
20,1,couch,965,748,710,532
20,2,suitcase,1491,746,144,175
21,1,couch,965,748,710,532
21,2,suitcase,1491,746,143,174
22,1,couch,965,747,711,532
22,2,suitcase,1492,746,142,175
23,1,couch,966,745,707,528
23,2,suitcase,1491,746,143,174
24,1,couch,966,744,704,526
24,2,suitcase,1491,746,144,174
25,1,couch,965,745,709,528
25,2,suitcase,1491,746,144,174
26,1,couch,965,746,711,528
26,2,suitcase,1492,746,143,174
27,1,couch,965,745,708,528
27,2,suitcase,1491,745,144,174
28,1,couch,965,746,710,529
28,2,suitcase,1491,745,144,174
29,1,couch,963,747,714,530
29,2,suitcase,1491,745,144,174
30,1,couch,964,744,710,526
30,2,suitcase,1492,745,143,174
30,5,person,88,665,175,688
31,1,couch,965,743,708,524
31,2,suitcase,1492,746,144,174
31,5,person,110,559,220,842
32,1,couch,965,743,706,523
32,2,suitcase,1492,745,144,174
32,5,person,133,527,265,1001
32,7,backpack,1491,746,145,174
33,1,couch,966,744,707,526
33,2,suitcase,1492,746,144,174
33,5,person,153,522,305,1045
34,1,couch,965,745,710,527
34,2,suitcase,1492,746,143,175
34,5,person,172,531,343,1062
35,1,couch,966,744,707,525
35,2,suitcase,1492,746,143,175
35,5,person,186,533,371,1067
35,8,backpack,1491,746,144,175
36,1,couch,966,745,707,528
36,2,suitcase,1492,745,143,175
36,5,person,197,534,393,1069
37,1,couch,967,746,706,529
37,2,suitcase,1492,745,143,175
37,5,person,206,534,411,1069
38,1,couch,966,746,708,528
38,2,suitcase,1491,745,143,175
38,5,person,215,534,428,1068
39,1,couch,965,746,710,529
39,2,suitcase,1492,746,141,175
39,5,person,224,534,446,1069
40,1,couch,967,746,707,530
40,2,suitcase,1492,746,141,175
40,5,person,239,534,475,1069
41,1,couch,965,745,709,528
41,2,suitcase,1492,746,142,175
41,5,person,257,533,512,1067
42,1,couch,965,745,711,527
42,2,suitcase,1492,746,141,175
42,5,person,268,534,534,1069
43,1,couch,966,743,706,524
43,2,suitcase,1492,745,143,175
43,5,person,283,534,539,1069
44,1,couch,967,744,705,526
44,2,suitcase,1492,745,143,175
44,5,person,303,534,516,1069
45,1,couch,967,743,706,525
45,2,suitcase,1491,745,143,174
45,5,person,332,534,498,1069
46,1,couch,966,744,708,526
46,2,suitcase,1492,745,141,174
46,5,person,355,534,471,1068
47,1,couch,966,744,708,527
47,2,suitcase,1492,745,141,174
47,5,person,381,534,449,1068
48,1,couch,966,744,707,526
48,2,suitcase,1492,745,140,174
48,5,person,410,534,432,1069
49,1,couch,966,742,705,521
49,2,suitcase,1492,745,141,174
49,5,person,443,535,423,1070
50,1,couch,974,740,688,517
50,2,suitcase,1492,745,140,174
50,5,person,473,534,404,1068
51,1,couch,985,739,667,515
51,2,suitcase,1492,745,140,174
51,5,person,505,534,395,1069
52,1,couch,997,742,643,520
52,2,suitcase,1493,745,141,174
52,5,person,543,534,404,1068
53,1,couch,1009,743,619,523
53,2,suitcase,1492,746,142,174
53,5,person,573,534,406,1069
54,1,couch,1022,743,592,520
54,2,suitcase,1491,746,143,174
54,5,person,599,535,407,1070
55,1,couch,1031,745,571,525
55,2,suitcase,1492,747,143,175
55,5,person,621,533,410,1066
56,1,couch,1037,745,560,527
56,2,suitcase,1492,747,143,175
56,5,person,641,533,413,1067
57,1,couch,1039,745,554,526
57,2,suitcase,1492,747,143,175
57,5,person,661,534,420,1068
58,1,couch,1044,748,545,533
58,2,suitcase,1492,747,143,175
58,5,person,680,536,424,1071
59,1,couch,1048,751,537,539
59,2,suitcase,1492,747,144,176
59,5,person,698,537,425,1069
60,1,couch,1054,749,524,534
60,2,suitcase,1492,747,144,175
60,5,person,719,540,427,1060
61,1,couch,1062,744,508,524
61,2,suitcase,1492,747,144,175
61,5,person,736,543,423,1048
62,1,couch,982,739,671,515
62,2,suitcase,1492,747,144,174
62,5,person,751,547,422,1036
63,1,couch,959,737,719,509
63,2,suitcase,1492,747,143,174
63,5,person,765,553,420,1026
64,1,couch,943,734,750,504
64,2,suitcase,1492,747,143,174
64,5,person,774,559,428,1016
65,1,couch,938,732,758,502
65,2,suitcase,1492,747,143,174
65,5,person,786,563,435,1007
66,1,couch,948,729,738,498
66,2,suitcase,1492,746,143,174
66,5,person,800,566,436,999
67,1,couch,944,725,746,492
67,2,suitcase,1492,746,144,174
67,5,person,814,567,433,996
68,1,couch,958,722,719,481
68,2,suitcase,1492,746,144,174
68,5,person,828,568,417,994
69,1,couch,962,721,713,480
69,2,suitcase,1492,746,144,174
69,5,person,843,568,394,992
70,1,couch,955,721,726,481
70,2,suitcase,1493,746,144,175
70,5,person,861,567,362,986
71,1,couch,962,722,712,474
71,2,suitcase,1493,746,142,175
71,5,person,879,564,339,980
72,1,couch,966,724,703,481
72,2,suitcase,1493,746,142,175
72,5,person,896,554,324,957
73,1,couch,968,724,698,478
73,2,suitcase,1492,746,143,175
73,5,person,913,561,312,966
74,1,couch,968,724,697,469
74,2,suitcase,1492,747,144,175
74,5,person,927,571,303,976
75,1,chair,966,734,698,490
75,2,suitcase,1492,747,144,174
75,5,person,941,574,293,980
76,1,chair,964,754,694,483
76,2,suitcase,1492,747,144,174
76,5,person,953,576,282,981
77,1,chair,963,763,691,476
77,2,suitcase,1492,747,144,174
77,5,person,965,577,275,969
78,1,chair,967,762,701,473
78,2,suitcase,1492,747,144,174
78,5,person,986,578,289,965
79,1,couch,961,767,715,486
79,2,suitcase,1492,747,144,174
79,5,person,1019,580,337,955
80,1,couch,957,766,731,490
80,2,suitcase,1492,746,143,174
80,5,person,1039,582,346,954
81,1,couch,960,763,724,496
81,2,suitcase,1493,746,143,174
81,5,person,1031,582,389,955
82,1,couch,957,765,706,496
82,2,suitcase,1493,746,143,175
82,5,person,1042,585,344,958
83,1,couch,960,763,702,490
83,2,suitcase,1492,745,143,175
83,5,person,1053,582,336,954
84,1,couch,959,762,696,483
84,2,suitcase,1493,745,143,175
84,5,person,1065,582,324,954
85,1,couch,964,758,707,472
85,2,suitcase,1492,746,143,174
85,5,person,1078,579,316,950
86,1,couch,961,762,707,485
86,2,suitcase,1492,746,143,173
86,5,person,1089,585,288,965
87,1,couch,962,762,705,487
87,2,suitcase,1492,746,143,173
87,5,person,1101,582,278,970
88,1,couch,965,763,705,487
88,2,suitcase,1492,745,142,175
88,5,person,1111,575,274,958
89,1,couch,965,765,711,491
89,2,suitcase,1492,745,143,175
89,5,person,1119,573,277,956
90,1,couch,965,768,717,498
90,2,suitcase,1493,745,143,175
90,5,person,1125,572,283,954
91,1,couch,966,770,717,501
91,2,suitcase,1493,745,141,175
91,5,person,1127,573,281,954
92,1,couch,964,768,716,503
92,2,suitcase,1493,746,142,175
92,5,person,1133,578,278,960
93,1,couch,986,768,758,506
93,2,suitcase,1493,746,142,175
93,5,person,1141,582,277,964
94,1,couch,982,766,751,505
94,2,suitcase,1493,746,142,175
94,5,person,1150,582,283,964
95,1,couch,969,764,731,507
95,2,suitcase,1493,746,142,175
95,5,person,1156,584,289,964
96,1,couch,964,760,724,510
96,2,suitcase,1493,746,142,175
96,5,person,1159,585,292,965
97,1,couch,962,756,719,518
97,2,suitcase,1493,746,142,175
97,5,person,1161,586,293,962
98,1,couch,963,753,719,523
98,2,suitcase,1493,746,142,175
98,5,person,1161,588,292,959
99,1,couch,963,752,718,527
99,2,suitcase,1492,746,142,175
99,5,person,1163,588,292,956
100,1,couch,968,749,719,526
100,2,suitcase,1492,745,143,175
100,5,person,1163,589,288,956
101,1,couch,967,747,713,524
101,2,suitcase,1492,745,143,175
101,5,person,1165,585,286,945
102,1,couch,966,745,710,521
102,2,suitcase,1492,745,143,175
102,5,person,1167,588,293,948
103,1,couch,961,748,714,515
103,2,suitcase,1492,745,143,175
103,5,person,1172,589,304,947
104,1,couch,964,749,716,510
104,2,suitcase,1492,746,143,174
104,5,person,1175,589,313,946
105,1,couch,963,753,725,508
105,2,suitcase,1491,746,143,174
105,5,person,1178,590,322,945
106,1,couch,966,753,725,512
106,2,suitcase,1491,746,143,174
106,5,person,1179,590,326,941
107,1,couch,965,755,726,507
107,2,suitcase,1492,746,143,174
107,5,person,1178,591,325,936
108,1,couch,964,753,725,509
108,2,suitcase,1492,746,143,175
108,5,person,1174,592,321,934
109,1,couch,964,752,721,508
109,2,suitcase,1492,746,143,175
109,5,person,1169,593,315,929
110,1,couch,963,752,717,506
110,2,suitcase,1492,746,143,175
110,5,person,1163,592,308,925
111,1,couch,961,753,714,501
111,2,suitcase,1492,746,143,175
111,5,person,1156,591,299,919
112,1,couch,966,754,713,495
112,2,suitcase,1492,746,143,175
112,5,person,1148,584,292,914
113,1,couch,965,757,711,493
113,2,suitcase,1492,746,143,175
113,5,person,1140,589,286,912
114,1,couch,965,758,711,491
114,2,suitcase,1492,746,143,175
114,5,person,1135,589,285,912
115,1,couch,964,757,708,490
115,2,suitcase,1491,747,144,174
115,5,person,1130,591,284,907
116,1,couch,966,756,706,487
116,2,suitcase,1492,746,143,175
116,5,person,1124,593,284,905
117,1,couch,966,756,707,485
117,2,suitcase,1492,746,143,175
117,5,person,1117,595,287,900
118,1,couch,967,756,707,481
118,2,suitcase,1492,746,143,175
118,5,person,1113,597,295,896
119,1,couch,966,757,710,479
119,2,suitcase,1492,746,143,175
119,5,person,1105,599,290,890
120,1,couch,964,756,708,477
120,2,suitcase,1492,746,143,175
120,5,person,1099,602,295,885
121,1,couch,963,755,702,471
121,2,suitcase,1492,746,144,174
121,5,person,1100,602,317,877
122,1,couch,961,760,702,476
122,2,suitcase,1492,745,143,174
122,5,person,1095,606,327,866
123,1,couch,962,758,698,471
123,2,suitcase,1492,746,143,174
123,5,person,1086,608,322,848
124,1,couch,961,759,698,473
124,2,suitcase,1492,746,143,175
124,5,person,1090,616,346,840
125,1,couch,961,753,696,468
125,2,suitcase,1492,746,143,174
125,5,person,1082,624,351,829
126,1,couch,961,756,700,476
126,2,suitcase,1492,746,143,175
126,5,person,1082,630,368,810
127,1,couch,961,758,705,477
127,2,suitcase,1492,746,143,175
127,5,person,1076,638,375,788
128,1,couch,957,759,712,476
128,2,suitcase,1492,745,143,175
128,5,person,1069,650,385,773
129,1,couch,959,761,710,478
129,2,suitcase,1493,745,143,175
129,5,person,1062,665,400,751
130,1,couch,959,762,711,476
130,2,suitcase,1493,746,143,175
130,5,person,1059,675,419,711
131,1,couch,961,768,705,487
131,2,suitcase,1493,746,142,175
131,5,person,1062,686,451,667
132,1,couch,960,768,702,491
132,2,suitcase,1493,746,142,175
132,5,person,1052,694,456,616
133,1,couch,956,765,699,485
133,2,suitcase,1493,746,142,175
133,5,person,1047,705,461,574
134,1,couch,961,758,697,502
134,2,suitcase,1493,746,142,175
134,5,person,1029,702,442,522
135,1,couch,955,759,684,503
135,2,suitcase,1493,746,142,175
135,5,person,1032,698,456,478
136,1,couch,956,759,682,515
136,2,suitcase,1493,746,141,174
136,5,person,1016,685,440,434
137,1,couch,961,762,688,512
137,2,suitcase,1493,746,141,174
137,5,person,989,668,393,401
138,1,couch,964,756,695,525
138,2,suitcase,1492,746,142,174
138,5,person,986,644,395,371
138,30,person,886,608,196,314
139,1,couch,964,754,699,521
139,2,suitcase,1492,746,142,174
139,5,person,958,619,371,327
139,30,person,874,604,210,318
140,1,couch,963,756,699,508
140,2,suitcase,1492,746,142,175
140,5,person,952,605,369,317
140,30,person,872,598,215,323
141,1,couch,963,754,699,507
141,2,suitcase,1493,745,140,174
141,5,person,943,597,348,311
141,30,person,865,592,196,324
142,1,couch,965,753,701,507
142,2,suitcase,1492,746,142,174
142,5,person,939,591,340,313
142,30,person,860,588,183,324
143,1,couch,966,751,701,508
143,2,suitcase,1492,746,144,175
143,5,person,938,589,333,315
143,30,person,859,587,178,325
144,1,couch,964,755,699,499
144,2,suitcase,1492,746,144,175
144,5,person,944,589,345,316
144,30,person,859,588,178,323
145,1,couch,963,762,698,489
145,2,suitcase,1492,746,144,175
145,5,person,944,591,344,315
145,30,person,860,590,178,320
146,1,couch,965,753,700,503
146,2,suitcase,1492,746,143,174
146,5,person,941,595,334,313
147,1,couch,964,750,701,508
147,2,suitcase,1492,746,143,174
147,5,person,938,602,324,307
148,1,couch,964,749,702,512
148,2,suitcase,1492,746,143,174
148,5,person,944,605,340,309
149,1,couch,964,748,704,521
149,2,suitcase,1492,746,143,174
149,5,person,953,612,356,316
150,1,couch,965,748,705,526
150,2,suitcase,1492,746,142,174
150,5,person,958,617,364,323
151,1,couch,965,749,704,529
151,2,suitcase,1493,746,142,174
151,5,person,961,621,367,329
