17,"[1808.49072265625, 764.1636962890625]","[1828.7581787109375, 761.3875122070312]","[1812.53125, 749.3978271484375]","[1862.58349609375, 784.255126953125]","[0.0, 0.0]","[1844.5008544921875, 826.0405883789062]","[1794.5745849609375, 783.487548828125]","[1844.56591796875, 828.6937866210938]","[1729.6490478515625, 780.6629638671875]","[1845.170654296875, 800.218994140625]","[1728.366455078125, 787.238525390625]","[1789.498779296875, 854.7947387695312]","[1755.32373046875, 836.8002319335938]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
22,"[1810.136474609375, 765.942138671875]","[1829.023193359375, 762.0910034179688]","[1812.341552734375, 751.8201904296875]","[1860.921142578125, 784.126708984375]","[0.0, 0.0]","[1850.313720703125, 828.2161865234375]","[1790.5623779296875, 792.0511474609375]","[1859.88037109375, 828.4161376953125]","[1726.613525390625, 790.0904541015625]","[1867.9317626953125, 809.9210205078125]","[1734.731689453125, 799.9107055664062]","[1799.503173828125, 864.77978515625]","[1760.34130859375, 849.4879150390625]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
26,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[1810.902099609375, 260.242919921875]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
30,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[1765.503173828125, 489.2776794433594]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
31,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[1675.01220703125, 509.0043640136719]","[1668.27490234375, 506.8673400878906]","[1854.1087646484375, 648.05810546875]","[1734.5386962890625, 624.8802490234375]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
32,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[1655.7557373046875, 526.4306640625]","[1637.851318359375, 529.6521606445312]","[0.0, 0.0]","[1624.3070068359375, 659.5252075195312]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
33,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[1611.55078125, 521.0291748046875]","[1594.5106201171875, 518.7630615234375]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
34,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[1498.697998046875, 226.01358032226562]","[1543.0784912109375, 490.265625]","[1534.5029296875, 496.7498779296875]","[0.0, 0.0]","[1562.89013671875, 524.37548828125]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
35,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[1402.792724609375, 152.30291748046875]","[0.0, 0.0]","[1448.42529296875, 453.0630798339844]","[0.0, 0.0]","[1474.2525634765625, 599.100830078125]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
36,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[1560.307861328125, 466.7200012207031]","[1483.713623046875, 450.52581787109375]","[1348.71435546875, 890.411865234375]","[1321.614990234375, 880.378662109375]","[0.0, 0.0]","[0.0, 0.0]"
