class label (in order with X train),,,,class label (in order with Xtest),,,0,couch- sensor 3,,3,bed- sensor 3,
0,,,,0,,,,train,test,,train,test
0,,,,0,,,,1,7,,1,8
0,,,,0,,,,2,8,,2,9
0,,,,1,,,,3,9,,3,10
0,,,,1,,,,4,,,4,
0,,,,1,,,,5,,,5,
1,,,,2,,,,6,,,6,
1,,,,2,,,,,,,7,
1,,,,2,,,1,brush teeth- sensor 3,,4,fridge- sensor 3,
1,,,,3,,,,train,test,,train,test
1,,,,3,,,,1,8,,1,8
1,,,,3,,,,2,9,,2,9
1,,,,4,,,,3,10,,3,10
2,,,,4,,,,4,,,4,
2,,,,4,,,,5,,,5,
2,,,,5,,,,6,,,6,
2,,,,5,,,,7,,,7,
2,,,,,,,2,water- sensor 3,,5,table- sensor 3,
3,,,,,,,,train,test,,train,test
3,,,,,,,,1,6,,1,8
3,,,,,,,,2,7,,2,9
3,,,,,,,,3,8,,3,10
3,,,,,,,,4,,,4,
3,,,,,,,,5,,,5,
3,,,,,,,,,,,6,
4,,,,,,,,,,,7,
4,,,,,,,,,,,,
4,,,,,,,,,,,,
4,,,,,,,,,,,,
4,,,,,,,,,,,,
4,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,,,,,,,,,,,,
