{0: {'object': 'couch', '0': 160, '1': 139, '2': 1150, '3': 710}}
{1: {'object': 'couch', '0': 160, '1': 140, '2': 1150, '3': 710}}
{2: {'object': 'couch', '0': 160, '1': 140, '2': 1150, '3': 710}}
{3: {'object': 'couch', '0': 160, '1': 139, '2': 1150, '3': 710}}
{4: {'object': 'couch', '0': 160, '1': 140, '2': 1150, '3': 710}}
{5: {'object': 'couch', '0': 160, '1': 140, '2': 1150, '3': 710}}
{6: {'object': 'couch', '0': 160, '1': 140, '2': 1150, '3': 710}}
{7: {'object': 'couch', '0': 160, '1': 140, '2': 1150, '3': 710}}
{8: {'object': 'couch', '0': 160, '1': 140, '2': 1150, '3': 710}}
{9: {'object': 'couch', '0': 160, '1': 140, '2': 1150, '3': 710}}
{10: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{11: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{12: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{13: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{14: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{15: {'object': 'couch', '0': 159, '1': 140, '2': 1151, '3': 710}}
{16: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{17: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{18: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{19: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{20: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{21: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{22: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{23: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{24: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{25: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{26: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{27: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{28: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{29: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{30: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{31: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{32: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{33: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{34: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{35: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{36: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{37: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{38: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{39: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{40: {'object': 'couch', '0': 160, '1': 140, '2': 1151, '3': 710}}
{41: {'object': 'couch', '0': 160, '1': 141, '2': 1150, '3': 710}}
{42: {'object': 'couch', '0': 160, '1': 141, '2': 1150, '3': 710}}
{43: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{44: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{45: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{46: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{47: {'object': 'couch', '0': 160, '1': 141, '2': 1150, '3': 710}}
{48: {'object': 'couch', '0': 160, '1': 141, '2': 1150, '3': 710}}
{49: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{50: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{51: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{52: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{53: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{54: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{55: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{56: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{57: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{58: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{59: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{60: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{61: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{62: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{63: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{64: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{65: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{66: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{67: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{68: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{69: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{70: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{71: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{72: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
