0,"[162.89120483398438, 116.17611694335938]","[171.6636199951172, 99.35467529296875]","[146.81063842773438, 96.77082824707031]","[0.0, 0.0]","[89.68364715576172, 89.6520767211914]","[169.06356811523438, 192.12020874023438]","[27.595115661621094, 177.1373291015625]","[198.23110961914062, 332.19189453125]","[6.424497127532959, 326.9561767578125]","[236.83946228027344, 428.02734375]","[16.764469146728516, 449.881591796875]","[149.81301879882812, 453.0209655761719]","[73.04270935058594, 454.33489990234375]","[125.11770629882812, 623.3038940429688]","[149.17822265625, 630.512939453125]","[65.33320617675781, 781.6387939453125]","[201.5159454345703, 796.5239868164062]"
1,"[179.1558074951172, 122.6367416381836]","[186.55450439453125, 102.20246887207031]","[159.47817993164062, 102.03675842285156]","[0.0, 0.0]","[99.44216918945312, 96.81373596191406]","[188.87054443359375, 194.8216552734375]","[47.92184829711914, 190.620361328125]","[225.7023468017578, 329.07122802734375]","[19.57788848876953, 338.72564697265625]","[261.7860107421875, 424.338134765625]","[16.290252685546875, 455.88690185546875]","[173.8777618408203, 452.14404296875]","[89.24714660644531, 456.3082580566406]","[171.76144409179688, 605.5347900390625]","[127.76953125, 615.5905151367188]","[114.10075378417969, 765.675048828125]","[123.01043701171875, 781.3079223632812]"
2,"[196.13072204589844, 122.77651977539062]","[204.9187774658203, 104.93877410888672]","[177.01051330566406, 103.45843505859375]","[0.0, 0.0]","[119.93853759765625, 100.82759857177734]","[197.52662658691406, 202.2909393310547]","[65.02136993408203, 197.92996215820312]","[228.16806030273438, 333.73773193359375]","[37.030059814453125, 350.1850891113281]","[286.7668762207031, 439.3788757324219]","[27.87788200378418, 476.4897766113281]","[177.15872192382812, 454.662109375]","[105.80039978027344, 460.7227478027344]","[170.62326049804688, 591.2693481445312]","[180.4889373779297, 605.7195434570312]","[86.39700317382812, 740.1619262695312]","[199.45211791992188, 761.9218139648438]"
3,"[219.0970916748047, 123.8719482421875]","[225.55270385742188, 106.4454345703125]","[200.61973571777344, 104.41282653808594]","[0.0, 0.0]","[142.2951202392578, 104.58709716796875]","[206.6092071533203, 206.70819091796875]","[88.42764282226562, 201.43414306640625]","[248.17306518554688, 337.62640380859375]","[50.09809875488281, 352.6114196777344]","[313.106689453125, 448.4277648925781]","[33.461334228515625, 480.60406494140625]","[197.2979736328125, 458.37158203125]","[137.51171875, 464.28369140625]","[190.36154174804688, 602.6349487304688]","[215.07508850097656, 614.227783203125]","[112.50286102294922, 762.4367065429688]","[239.45677185058594, 781.607666015625]"
4,"[235.14923095703125, 123.17742919921875]","[239.4469757080078, 103.257568359375]","[217.04310607910156, 106.19467163085938]","[0.0, 0.0]","[164.95620727539062, 108.48403930664062]","[243.69189453125, 208.5212860107422]","[97.96039581298828, 211.7943878173828]","[266.02337646484375, 343.57037353515625]","[73.97410583496094, 360.8326416015625]","[311.6624755859375, 451.54132080078125]","[61.455604553222656, 499.72967529296875]","[217.19232177734375, 464.72894287109375]","[145.42068481445312, 472.6483154296875]","[187.78402709960938, 627.8623657226562]","[235.9277801513672, 648.2774047851562]","[79.02273559570312, 752.1142578125]","[294.09222412109375, 794.993896484375]"
5,"[255.09390258789062, 119.34031677246094]","[257.77978515625, 99.32798767089844]","[237.43753051757812, 103.12930297851562]","[0.0, 0.0]","[180.90719604492188, 102.98785400390625]","[250.44332885742188, 197.0145263671875]","[117.68994140625, 204.31781005859375]","[265.2757263183594, 336.278076171875]","[95.23462677001953, 366.1599426269531]","[322.41351318359375, 448.37799072265625]","[82.7400131225586, 500.076416015625]","[244.19442749023438, 459.8912353515625]","[178.77056884765625, 470.87591552734375]","[218.77162170410156, 627.2205200195312]","[272.21612548828125, 651.9636840820312]","[101.2016830444336, 753.7011108398438]","[305.48883056640625, 796.771484375]"
6,"[268.37457275390625, 117.77256774902344]","[273.1241455078125, 97.04452514648438]","[249.3595733642578, 101.75839233398438]","[0.0, 0.0]","[196.47189331054688, 103.39151000976562]","[269.57568359375, 192.93841552734375]","[141.0454559326172, 203.96893310546875]","[289.6571044921875, 328.82635498046875]","[118.86170196533203, 364.7769470214844]","[344.8712158203125, 444.38140869140625]","[110.6239013671875, 502.4653015136719]","[264.0797119140625, 453.73876953125]","[197.41299438476562, 465.25555419921875]","[239.61643981933594, 624.9764404296875]","[267.0685729980469, 648.3524169921875]","[162.64805603027344, 773.34716796875]","[313.11773681640625, 814.7783203125]"
7,"[286.0157165527344, 115.78271484375]","[289.61248779296875, 93.974853515625]","[266.0538024902344, 98.94122314453125]","[0.0, 0.0]","[210.08099365234375, 103.38446044921875]","[276.3780822753906, 198.42379760742188]","[162.5750274658203, 208.92510986328125]","[308.0320129394531, 342.3792724609375]","[138.50588989257812, 371.39227294921875]","[358.114990234375, 458.31304931640625]","[153.05059814453125, 495.8169250488281]","[292.5830078125, 456.7976989746094]","[220.53805541992188, 471.0487976074219]","[339.7197570800781, 612.65087890625]","[276.47515869140625, 634.910888671875]","[333.0858154296875, 763.1865234375]","[294.7654724121094, 799.5338745117188]"
8,"[307.786865234375, 117.86856079101562]","[311.04986572265625, 97.93956756591797]","[289.9801025390625, 99.87808227539062]","[0.0, 0.0]","[228.11196899414062, 94.02921295166016]","[288.52166748046875, 191.82070922851562]","[177.79714965820312, 195.02395629882812]","[325.20819091796875, 341.8199462890625]","[163.66856384277344, 365.4390563964844]","[380.3302001953125, 462.41497802734375]","[187.47586059570312, 506.2191467285156]","[312.9808044433594, 460.3517761230469]","[244.8673095703125, 468.90106201171875]","[307.6211242675781, 630.1318359375]","[265.2530517578125, 642.0635375976562]","[298.68426513671875, 770.79931640625]","[279.468505859375, 786.3660888671875]"
9,"[326.97772216796875, 112.21499633789062]","[329.93975830078125, 93.78025817871094]","[311.0871887207031, 94.734375]","[0.0, 0.0]","[249.11297607421875, 92.4737548828125]","[306.31024169921875, 190.52606201171875]","[192.35934448242188, 196.6058349609375]","[343.19232177734375, 332.9578552246094]","[177.09808349609375, 366.26605224609375]","[383.7457580566406, 449.9435119628906]","[200.33981323242188, 510.63824462890625]","[323.370361328125, 456.9554443359375]","[253.93637084960938, 466.7331848144531]","[329.4671325683594, 631.1712646484375]","[283.8661193847656, 643.7857666015625]","[302.11761474609375, 780.5452880859375]","[288.9276123046875, 794.0841064453125]"
10,"[339.58642578125, 112.14472961425781]","[345.5396728515625, 92.34608459472656]","[322.75909423828125, 92.63809204101562]","[0.0, 0.0]","[265.685546875, 87.16717529296875]","[327.0641784667969, 189.03634643554688]","[214.73394775390625, 191.15597534179688]","[357.0763854980469, 335.99609375]","[202.95175170898438, 367.96466064453125]","[401.4920654296875, 467.4205627441406]","[256.37432861328125, 521.829833984375]","[339.1065979003906, 459.7387390136719]","[269.0945739746094, 467.2999267578125]","[346.7048034667969, 635.2071533203125]","[302.79278564453125, 645.2913818359375]","[311.58740234375, 790.4598999023438]","[296.2376403808594, 803.5347900390625]"
